filename,lamb_Q3,lamb_Q2,lamb_Q1,R1_Count,Wrong_Count,Non_R1_Count
n01440764_13956.JPEG,5.5275,2.196,1.16075,38,24,18
n01440764_13966.JPEG,6.378,2.364,0.64875,59,17,4
n01440764_13974.JPEG,6.6045,2.8255,1.0245,68,8,4
n01440764_13978.JPEG,10.841,8.2735,6.16725,77,2,1
n01440764_13989.JPEG,6.352,3.735,1.221,71,6,3
n01440764_13993.JPEG,3.21275,1.5975,0.97625,0,32,48
n01440764_14005.JPEG,6.3885,4.9765,2.709,73,3,4
n01440764_14025.JPEG,7.7465,3.5895,1.93625,73,4,3
n01440764_14027.JPEG,6.3985,4.632,2.8465,72,4,4
n01440764_14034.JPEG,8.294,6.517,4.037,75,4,1
n01440764_14053.JPEG,7.00675,3.8275,1.801,75,1,4
n01440764_14074.JPEG,11.31025,9.4495,7.40975,74,1,5
n01440764_14098.JPEG,8.23025,5.7795,3.02275,71,6,3
n01440764_141.JPEG,4.90575,0.21,0.1295,39,27,14
n01440764_14150.JPEG,7.55825,4.1865,1.391,69,8,3
n01440764_14162.JPEG,4.22075,1.8305,0.965,70,6,4
n01440764_14169.JPEG,11.472,9.762,8.025,77,1,2
n01440764_14172.JPEG,8.3955,5.283,2.98825,76,4,0
n01440764_14176.JPEG,5.3675,0.9935,0.5445,68,6,6
n01440764_14190.JPEG,1.48575,0.8445,0.5775,0,51,29
n01440764_14232.JPEG,6.951,4.159,2.18875,71,3,6
n01440764_14233.JPEG,7.94825,5.906,3.57975,69,6,5
n01440764_14249.JPEG,8.0645,2.999,0.76925,62,9,9
n01440764_14274.JPEG,3.99975,1.8045,0.38375,56,16,8
n01440764_14280.JPEG,9.471,5.851,3.05275,74,3,3
n01440764_14286.JPEG,6.729,3.456,1.68275,62,11,7
n01440764_14294.JPEG,5.21625,3.143,1.63225,71,4,5
n01440764_14310.JPEG,6.7285,4.02,1.71725,71,4,5
n01440764_14339.JPEG,1.8705,0.3685,0.1705,40,31,9
n01440764_14341.JPEG,7.65525,2.7495,1.01225,72,4,4
n01440764_14342.JPEG,7.25675,4.446,2.0135,69,8,3
n01440764_14383.JPEG,7.92925,5.466,3.16225,74,3,3
n01440764_14402.JPEG,8.17225,4.1515,0.7185,60,16,4
n01440764_14405.JPEG,6.69275,2.7745,0.75125,60,17,3
n01440764_14411.JPEG,8.468,5.0555,3.73325,75,3,2
n01440764_14435.JPEG,9.797,8.155,5.43575,77,1,2
n01440764_14448.JPEG,8.134,4.2055,3.2015,75,3,2
n01440764_14489.JPEG,6.917,2.8995,0.94575,57,13,10
n01440764_14490.JPEG,9.331,6.7945,4.6745,73,5,2
n01440764_14506.JPEG,3.52925,1.295,0.82025,62,9,9
n01440764_14524.JPEG,7.31125,2.2565,1.067,73,4,3
n01440764_14530.JPEG,6.8595,3.769,2.132,42,21,17
n01440764_14549.JPEG,1.48625,0.931,0.4845,26,26,28
n01440764_14555.JPEG,4.7975,0.4575,0.25575,46,23,11
n01440764_14559.JPEG,7.90725,4.088,2.43625,74,3,3
n01440764_14609.JPEG,8.77375,5.655,4.08025,75,5,0
n01440764_14624.JPEG,6.6645,2.974,1.1685,70,6,4
n01440764_14633.JPEG,7.26425,4.147,1.67,71,5,4
n01440764_14634.JPEG,3.64975,1.0625,0.4995,54,20,6
n01440764_14639.JPEG,5.96375,2.489,0.926,61,18,1
n01440764_14650.JPEG,7.597,3.743,1.867,69,4,7
n01440764_14685.JPEG,6.63775,3.3075,1.35525,72,3,5
n01440764_1469.JPEG,6.77,4.0245,1.042,61,16,3
n01440764_14731.JPEG,6.8335,2.801,0.908,62,12,6
n01440764_14771.JPEG,7.1165,4.5175,2.39775,75,2,3
n01440764_14779.JPEG,7.63525,3.7915,1.25075,57,20,3
n01440764_1478.JPEG,7.84225,5.102,3.42725,74,3,3
n01440764_14790.JPEG,7.3075,2.789,0.842,71,6,3
n01440764_148.JPEG,0.97025,0.325,0.14075,25,47,8
n01440764_14802.JPEG,6.82325,3.637,1.38125,70,7,3
n01440764_14855.JPEG,8.1715,3.4075,1.83875,76,1,3
n01440764_14885.JPEG,6.76725,3.3455,1.5115,71,6,3
n01440764_14891.JPEG,6.9825,4.4855,3.37325,71,5,4
n01440764_14893.JPEG,6.01225,1.488,0.63475,70,5,5
n01440764_14907.JPEG,8.335,3.819,1.54,66,6,8
n01440764_15008.JPEG,8.1785,5.8975,3.306,78,1,1
n01440764_15049.JPEG,4.36125,1.4015,0.6665,72,4,4
n01440764_15071.JPEG,6.47075,2.68,1.452,65,13,2
n01440764_15073.JPEG,1.2725,0.8,0.404,12,55,13
n01440764_15081.JPEG,7.23175,4.0235,2.92425,74,5,1
