filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_2196.JPEG,6.5,5.12,4.707,0.198,1.931,0.673,10.614,1.583,7.943,6.649,5.94,2.054
n01440764_22029.JPEG,8.265,6.521,4.083,0.741,9.762,0.403,9.904,8.452,7.462,5.151,7.682,4.154
n01440764_22135.JPEG,7.372,5.585,5.683,3.583,9.801,0.973,11.023,6.289,8.865,7.24,5.032,6.31
n01440764_2221.JPEG,7.194,6.787,6.4,1.4,9.33,0.637,11.129,6.489,5.239,5.737,3.53,6.077
n01440764_22277.JPEG,7.114,5.897,5.986,0.515,10.559,0.454,11.256,5.796,6.843,6.229,5.19,6.92
n01440764_2255.JPEG,7.064,6.641,4.104,0.661,6.755,0.509,11.217,7.09,5.14,4.28,4.989,5.615
n01440764_22706.JPEG,4.411,2.917,1.115,0.348,0.624,0.79,8.154,7.213,1.079,5.316,5.265,1.531
n01440764_2271.JPEG,4.316,4.493,2.301,0.135,5.647,0.633,9.638,7.79,6.791,4.905,3.588,3.427
n01440764_2275.JPEG,6.357,3.948,4.229,0.499,9.483,1.784,11.099,6.164,7.929,5.97,6.342,6.316
n01440764_22773.JPEG,5.348,3.907,2.046,0.976,4.037,1.397,6.752,5.917,6.884,1.06,1.028,3.498
n01440764_22873.JPEG,4.398,2.875,3.905,0.96,9.331,0.911,11.116,3.977,7.465,3.391,4.019,3.431
n01440764_2290.JPEG,2.155,0.707,0.9,0.186,9.085,0.396,8.315,5.514,5.461,2.177,1.065,1.425
n01440764_22948.JPEG,5.388,3.995,4.571,0.959,9.347,0.763,11.041,5.914,8.167,4.977,4.346,4.452
n01440764_22963.JPEG,8.195,6.924,3.753,0.225,9.504,0.396,9.628,4.99,7.496,5.215,3.574,3.94
n01440764_2298.JPEG,4.301,3.144,1.219,0.874,2.474,0.959,5.975,3.665,4.122,4.264,4.68,1.167
n01440764_23111.JPEG,3.008,1.825,0.318,3.188,0.957,0.473,5.887,0.429,2.259,2.8,3.144,1.031
n01440764_2314.JPEG,6.717,5.04,5.89,0.1,6.459,0.172,11.027,4.167,3.687,5.844,5.956,5.849
n01440764_23259.JPEG,9.039,8.045,9.536,0.357,3.737,0.759,9.985,7.161,5.294,8.242,5.684,3.726
n01440764_23379.JPEG,4.465,2.233,2.545,0.532,6.982,0.46,9.044,6.176,5.56,5.099,4.603,4.347
n01440764_23447.JPEG,4.66,2.196,4.247,2.688,6.402,1.18,11.012,5.272,6.434,2.757,3.357,4.867
n01440764_23493.JPEG,6.297,5.537,1.721,0.381,0.822,0.535,5.006,1.903,6.731,6.098,4.057,2.468
n01440764_23606.JPEG,9.119,7.433,6.115,3.346,9.08,0.222,11.322,6.553,7.776,4.987,4.693,7.483
n01440764_23629.JPEG,6.807,5.978,5.785,0.798,4.649,2.269,9.954,3.546,8.817,3.883,2.266,2.482
n01440764_23646.JPEG,5.132,4.114,2.706,0.511,6.35,0.279,11.335,7.288,8.598,4.595,4.516,3.844
n01440764_2369.JPEG,0.208,0.094,0.194,0.934,8.774,0.103,11.059,5.358,8.237,0.476,0.199,0.159
n01440764_237.JPEG,0.972,0.643,0.416,0.519,1.178,0.889,0.654,1.053,2.267,2.873,0.55,0.683
n01440764_2375.JPEG,7.221,5.986,4.412,0.626,10.359,0.208,11.184,5.867,8.721,3.174,4.075,5.01
n01440764_2385.JPEG,0.727,0.416,0.706,0.117,1.179,3.998,6.504,0.086,5.553,2.098,0.947,0.916
n01440764_239.JPEG,8.316,7.545,5.277,0.261,10.03,0.63,9.867,3.624,6.653,7.021,6.535,4.752
n01440764_24047.JPEG,6.902,7.497,5.6,0.2,8.561,0.249,10.027,1.931,5.302,3.951,4.401,4.963
